[DEBUG] 2018-10-16 22:29:40.800 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@74a6f9c1
[DEBUG] 2018-10-16 22:29:40.801 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@63611043
[DEBUG] 2018-10-16 22:29:40.802 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@6c2ed0cd
[DEBUG] 2018-10-16 22:29:40.802 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@6c2ed0cd
[DEBUG] 2018-10-16 22:29:40.802 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@6c2ed0cd
[DEBUG] 2018-10-16 22:29:40.803 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@4241e0f4
[DEBUG] 2018-10-16 22:29:40.806 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@4241e0f4
[DEBUG] 2018-10-16 22:29:40.806 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@4241e0f4
[DEBUG] 2018-10-16 22:29:40.807 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@38604b81
[DEBUG] 2018-10-16 22:29:40.810 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@ae3540e
[DEBUG] 2018-10-16 22:29:40.811 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@457c9034
[DEBUG] 2018-10-16 22:29:40.811 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@457c9034
[DEBUG] 2018-10-16 22:29:40.811 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@457c9034
[DEBUG] 2018-10-16 22:29:40.812 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@51549490
[DEBUG] 2018-10-16 22:29:40.815 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@51549490
[DEBUG] 2018-10-16 22:29:40.815 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@51549490
